Date : 2025-10-14 05:09:29
Directory : /home/essam/dev/car_rental/lib
Total : 132 files,  6198 codes, 115 comments, 835 blanks, all 7148 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
| features/home/domain/data                                                                                                              |          3 |        276 |          1 |         31 |        308 |
| features/home/domain/data/models                                                                                                       |          2 |        217 |          1 |         23 |        241 |
| features/home/domain/data/models/best_car_model                                                                                        |          1 |        210 |          1 |         20 |        231 |
| features/home/domain/data/models/brand                                                                                                 |          1 |          7 |          0 |          3 |         10 |
| features/home/domain/data/repos                                                                                                        |          1 |         59 |          0 |          8 |         67 |
| features/home/domain/entities                                                                                                          |          3 |        149 |          0 |         18 |        167 |
| features/home/domain/repos                                                                                                             |          1 |         11 |          0 |          2 |         13 |
| features/home/presentation                                                                                                             |         33 |      1,417 |          2 |        164 |      1,583 |
| features/home/presentation/manager                                                                                                     |          8 |        135 |          1 |         49 |        185 |
| features/home/presentation/manager/best_cars                                                                                           |          2 |         29 |          0 |         12 |         41 |
| features/home/presentation/manager/brands                                                                                              |          2 |         35 |          1 |         12 |         48 |
| features/home/presentation/manager/get_car_reviews                                                                                     |          2 |         35 |          0 |         15 |         50 |
| features/home/presentation/manager/get_one_car                                                                                         |          2 |         36 |          0 |         10 |         46 |
| features/home/presentation/views                                                                                                       |         25 |      1,282 |          1 |        115 |      1,398 |
| features/home/presentation/views (Files)                                                                                               |          2 |         46 |          1 |          7 |         54 |
| features/home/presentation/views/widgets                                                                                               |         23 |      1,236 |          0 |        108 |      1,344 |
| features/on_boarding                                                                                                                   |          8 |        344 |          0 |         48 |        392 |
| features/on_boarding/presentation                                                                                                      |          8 |        344 |          0 |         48 |        392 |
| features/on_boarding/presentation/views                                                                                                |          8 |        344 |          0 |         48 |        392 |
| features/on_boarding/presentation/views (Files)                                                                                        |          3 |         75 |          0 |         16 |         91 |
| features/on_boarding/presentation/views/widgets                                                                                        |          5 |        269 |          0 |         32 |        301 |
+----------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| filename                                                                                                                               | language | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| /home/essam/dev/car_rental/lib/constants/assets.dart                                                                                   | Dart     |         51 |         97 |         50 |        198 |
| /home/essam/dev/car_rental/lib/core/constants/api_constants.dart                                                                       | Dart     |          1 |          0 |          1 |          2 |
| /home/essam/dev/car_rental/lib/core/constants/auth_keys.dart                                                                           | Dart     |          4 |          0 |          0 |          4 |
| /home/essam/dev/car_rental/lib/core/constants/preferences_keys.dart                                                                    | Dart     |          2 |          0 |          1 |          3 |
| /home/essam/dev/car_rental/lib/core/countries.dart                                                                                     | Dart     |        247 |          0 |          1 |        248 |
| /home/essam/dev/car_rental/lib/core/entites/refresh_entite.dart                                                                        | Dart     |          5 |          0 |          2 |          7 |
| /home/essam/dev/car_rental/lib/core/errors/failure.dart                                                                                | Dart     |         59 |          1 |          9 |         69 |
| /home/essam/dev/car_rental/lib/core/helper_functions/on_generate_route.dart                                                            | Dart     |         63 |          0 |          4 |         67 |
| /home/essam/dev/car_rental/lib/core/helper_functions/show_bars.dart                                                                    | Dart     |         10 |          0 |          2 |         12 |
| /home/essam/dev/car_rental/lib/core/models/refresh_model.dart                                                                          | Dart     |         10 |          0 |          4 |         14 |
| /home/essam/dev/car_rental/lib/core/services/custom_bloc_observer.dart                                                                 | Dart     |         19 |          0 |          4 |         23 |
| /home/essam/dev/car_rental/lib/core/services/data_service.dart                                                                         | Dart     |          0 |          0 |          2 |          2 |
| /home/essam/dev/car_rental/lib/core/services/get_it_service.dart                                                                       | Dart     |         14 |          0 |          3 |         17 |
| /home/essam/dev/car_rental/lib/core/services/quent_auth_service.dart                                                                   | Dart     |        234 |          1 |         42 |        277 |
| /home/essam/dev/car_rental/lib/core/services/shared_preferences_singleton.dart                                                         | Dart     |         19 |          0 |          7 |         26 |
| /home/essam/dev/car_rental/lib/core/utils/app_text_styles.dart                                                                         | Dart     |         23 |          0 |          2 |         25 |
| /home/essam/dev/car_rental/lib/core/widgets/custom_button.dart                                                                         | Dart     |         39 |          0 |          5 |         44 |
| /home/essam/dev/car_rental/lib/core/widgets/custom_text_form_field.dart                                                                | Dart     |         50 |          0 |          6 |         56 |
| /home/essam/dev/car_rental/lib/core/widgets/forgot_password.dart                                                                       | Dart     |         50 |          0 |          7 |         57 |
| /home/essam/dev/car_rental/lib/core/widgets/or_divider.dart                                                                            | Dart     |         21 |          0 |          4 |         25 |
| /home/essam/dev/car_rental/lib/core/widgets/password_field.dart                                                                        | Dart     |         38 |          1 |          6 |         45 |
| /home/essam/dev/car_rental/lib/core/widgets/social_login_button.dart                                                                   | Dart     |         50 |          0 |          5 |         55 |
| /home/essam/dev/car_rental/lib/features/auth/domain/data/models/country_model/country_model.dart                                       | Dart     |         15 |          0 |          3 |         18 |
| /home/essam/dev/car_rental/lib/features/auth/domain/data/models/location_model/location_model.dart                                     | Dart     |         17 |          0 |          3 |         20 |
| /home/essam/dev/car_rental/lib/features/auth/domain/data/models/request_password_reset_code_mode/request_password_reset_code_mode.dart | Dart     |         15 |          0 |          3 |         18 |
| /home/essam/dev/car_rental/lib/features/auth/domain/data/models/request_verify_phone_model/request_verify_phone_model.dart             | Dart     |         15 |          0 |          3 |         18 |
| /home/essam/dev/car_rental/lib/features/auth/domain/data/models/reset_password_model/reset_password_model.dart                         | Dart     |          7 |          0 |          3 |         10 |
| /home/essam/dev/car_rental/lib/features/auth/domain/data/models/review_model/review_model.dart                                         | Dart     |         26 |          0 |          3 |         29 |
| /home/essam/dev/car_rental/lib/features/auth/domain/data/models/user_model/user_model.dart                                             | Dart     |        125 |          0 |         22 |        147 |
| /home/essam/dev/car_rental/lib/features/auth/domain/data/repos/auth_repo_impl.dart                                                     | Dart     |        168 |          0 |         18 |        186 |
| /home/essam/dev/car_rental/lib/features/auth/domain/entities/country_entity.dart                                                       | Dart     |         10 |          0 |          2 |         12 |
| /home/essam/dev/car_rental/lib/features/auth/domain/entities/location_entity.dart                                                      | Dart     |         12 |          0 |          2 |         14 |
| /home/essam/dev/car_rental/lib/features/auth/domain/entities/request_password_reset_code_entity.dart                                   | Dart     |          8 |          0 |          2 |         10 |
| /home/essam/dev/car_rental/lib/features/auth/domain/entities/request_verify_phone_entity.dart                                          | Dart     |         10 |          0 |          2 |         12 |
| /home/essam/dev/car_rental/lib/features/auth/domain/entities/reset_password_entity.dart                                                | Dart     |          4 |          0 |          2 |          6 |
| /home/essam/dev/car_rental/lib/features/auth/domain/entities/reviews_entity.dart                                                       | Dart     |         14 |          0 |          2 |         16 |
| /home/essam/dev/car_rental/lib/features/auth/domain/entities/user_entity.dart                                                          | Dart     |          7 |          0 |          3 |         10 |
| /home/essam/dev/car_rental/lib/features/auth/domain/repos/auth_repo.dart                                                               | Dart     |         46 |          0 |          9 |         55 |
| /home/essam/dev/car_rental/lib/features/auth/presentation/manager/cubits/get_countries/get_countries_cubit.dart                        | Dart     |         21 |          0 |          7 |         28 |
| /home/essam/dev/car_rental/lib/features/auth/presentation/manager/cubits/get_countries/get_countries_state.dart                        | Dart     |         13 |          0 |          8 |         21 |
| /home/essam/dev/car_rental/lib/features/auth/presentation/manager/cubits/get_locations/get_locations_cubit.dart                        | Dart     |         21 |          0 |          6 |         27 |
| /home/essam/dev/car_rental/lib/features/auth/presentation/manager/cubits/get_locations/get_locations_state.dart                        | Dart     |         13 |          0 |          8 |         21 |
| /home/essam/dev/car_rental/lib/features/auth/presentation/manager/cubits/otp_cubit/otp_cubit.dart                                      | Dart     |         13 |          0 |          6 |         19 |
| /home/essam/dev/car_rental/lib/features/auth/presentation/manager/cubits/otp_cubit/otp_state.dart                                      | Dart     |          5 |          0 |          4 |          9 |
| /home/essam/dev/car_rental/lib/features/auth/presentation/manager/cubits/reset_password/reset_password_cubit.dart                      | Dart     |         53 |          0 |         10 |         63 |
| /home/essam/dev/car_rental/lib/features/auth/presentation/manager/cubits/reset_password/reset_password_state.dart                      | Dart     |         18 |          0 |         11 |         29 |
| /home/essam/dev/car_rental/lib/features/auth/presentation/manager/cubits/sign_in/sign_in_cubit.dart                                    | Dart     |         21 |          0 |          7 |         28 |
| /home/essam/dev/car_rental/lib/features/auth/presentation/manager/cubits/sign_in/sign_in_state.dart                                    | Dart     |         13 |          0 |          8 |         21 |
| /home/essam/dev/car_rental/lib/features/auth/presentation/manager/cubits/sign_up/sign_up_cubit.dart                                    | Dart     |         37 |          0 |          7 |         44 |
| /home/essam/dev/car_rental/lib/features/auth/presentation/manager/cubits/sign_up/sign_up_state.dart                                    | Dart     |         13 |          0 |          8 |         21 |
| /home/essam/dev/car_rental/lib/features/auth/presentation/manager/cubits/verify_phone_number/verify_phone_number_cubit.dart            | Dart     |         50 |          0 |         10 |         60 |
| /home/essam/dev/car_rental/lib/features/auth/presentation/manager/cubits/verify_phone_number/verify_phone_number_state.dart            | Dart     |         19 |          0 |         12 |         31 |
| /home/essam/dev/car_rental/lib/features/auth/presentation/views/new_passwrod_view.dart                                                 | Dart     |         10 |          0 |          2 |         12 |
| /home/essam/dev/car_rental/lib/features/auth/presentation/views/reset_your_password_view.dart                                          | Dart     |         21 |          0 |          5 |         26 |
| /home/essam/dev/car_rental/lib/features/auth/presentation/views/sign_in_view.dart                                                      | Dart     |         19 |          0 |          6 |         25 |
| /home/essam/dev/car_rental/lib/features/auth/presentation/views/sign_up_view.dart                                                      | Dart     |         25 |          0 |          5 |         30 |
| /home/essam/dev/car_rental/lib/features/auth/presentation/views/verification_code_view.dart                                            | Dart     |         25 |          0 |          5 |         30 |
| /home/essam/dev/car_rental/lib/features/auth/presentation/views/verify_reset_password_code_view.dart                                   | Dart     |         17 |          0 |          2 |         19 |
| /home/essam/dev/car_rental/lib/features/auth/presentation/views/verify_your_phone_number_view.dart                                     | Dart     |         28 |          0 |          4 |         32 |
| /home/essam/dev/car_rental/lib/features/auth/presentation/views/widgets/CustomOtpTextFormField.dart                                    | Dart     |         56 |          0 |          4 |         60 |
| /home/essam/dev/car_rental/lib/features/auth/presentation/views/widgets/country_drop_down_page.dart                                    | Dart     |        122 |          0 |         15 |        137 |
| /home/essam/dev/car_rental/lib/features/auth/presentation/views/widgets/country_search_bar_suggestions.dart                            | Dart     |        152 |          1 |         15 |        168 |
| /home/essam/dev/car_rental/lib/features/auth/presentation/views/widgets/custom_check_box.dart                                          | Dart     |         41 |          0 |          4 |         45 |
| /home/essam/dev/car_rental/lib/features/auth/presentation/views/widgets/custom_pick_country.dart                                       | Dart     |         69 |          0 |          9 |         78 |
| /home/essam/dev/car_rental/lib/features/auth/presentation/views/widgets/dont_have_an_account.dart                                      | Dart     |         43 |          0 |          5 |         48 |
| /home/essam/dev/car_rental/lib/features/auth/presentation/views/widgets/have_an_account.dart                                           | Dart     |         42 |          0 |          5 |         47 |
| /home/essam/dev/car_rental/lib/features/auth/presentation/views/widgets/location_search_bar_suggetions.dart                            | Dart     |        145 |          1 |         14 |        160 |
| /home/essam/dev/car_rental/lib/features/auth/presentation/views/widgets/new_password_body_bloc_consumer.dart                           | Dart     |         29 |          0 |          3 |         32 |
| /home/essam/dev/car_rental/lib/features/auth/presentation/views/widgets/new_password_view_body.dart                                    | Dart     |        106 |          0 |          7 |        113 |
| /home/essam/dev/car_rental/lib/features/auth/presentation/views/widgets/otp_form.dart                                                  | Dart     |         49 |          0 |          7 |         56 |
| /home/essam/dev/car_rental/lib/features/auth/presentation/views/widgets/reset_your_password_bloc_view_body_bloc_consumer.dart          | Dart     |         50 |          0 |          5 |         55 |
| /home/essam/dev/car_rental/lib/features/auth/presentation/views/widgets/reset_your_password_view_body.dart                             | Dart     |        135 |          0 |          9 |        144 |
| /home/essam/dev/car_rental/lib/features/auth/presentation/views/widgets/sign_in_view_body.dart                                         | Dart     |        109 |          0 |          7 |        116 |
| /home/essam/dev/car_rental/lib/features/auth/presentation/views/widgets/sign_in_view_body_bloc_consumer.dart                           | Dart     |         52 |          0 |          4 |         56 |
| /home/essam/dev/car_rental/lib/features/auth/presentation/views/widgets/sign_up_view_body.dart                                         | Dart     |        164 |          3 |          8 |        175 |
| /home/essam/dev/car_rental/lib/features/auth/presentation/views/widgets/sign_up_view_body_bloc_consumer.dart                           | Dart     |         56 |          0 |          5 |         61 |
| /home/essam/dev/car_rental/lib/features/auth/presentation/views/widgets/verification_code_view_body.dart                               | Dart     |         65 |          3 |          7 |         75 |
| /home/essam/dev/car_rental/lib/features/auth/presentation/views/widgets/verification_code_view_body_bloc_consumer.dart                 | Dart     |         47 |          0 |          5 |         52 |
| /home/essam/dev/car_rental/lib/features/auth/presentation/views/widgets/verify_reset_password_code_view_body.dart                      | Dart     |        109 |          0 |          5 |        114 |
| /home/essam/dev/car_rental/lib/features/auth/presentation/views/widgets/verify_reset_password_code_view_body_bloc_consumer.dart        | Dart     |         30 |          0 |          4 |         34 |
| /home/essam/dev/car_rental/lib/features/auth/presentation/views/widgets/verify_your_phone_number_view_body.dart                        | Dart     |        116 |          0 |         12 |        128 |
| /home/essam/dev/car_rental/lib/features/auth/presentation/views/widgets/verify_your_phone_number_view_body_bloc_consumer.dart          | Dart     |         45 |          1 |          7 |         53 |
| /home/essam/dev/car_rental/lib/features/auth/presentation/views/widgets/yes_no_choice.dart                                             | Dart     |        170 |          1 |         10 |        181 |
| /home/essam/dev/car_rental/lib/features/home/domain/data/models/best_car_model/car_car_model.dart                                      | Dart     |        210 |          1 |         20 |        231 |
| /home/essam/dev/car_rental/lib/features/home/domain/data/models/brand/brand_model.dart                                                 | Dart     |          7 |          0 |          3 |         10 |
| /home/essam/dev/car_rental/lib/features/home/domain/data/repos/home_repo_impl.dart                                                     | Dart     |         59 |          0 |          8 |         67 |
| /home/essam/dev/car_rental/lib/features/home/domain/entities/bottom_navigation_bar_entity.dart                                         | Dart     |         30 |          0 |          4 |         34 |
| /home/essam/dev/car_rental/lib/features/home/domain/entities/brand_entity.dart                                                         | Dart     |          6 |          0 |          2 |          8 |
| /home/essam/dev/car_rental/lib/features/home/domain/entities/car_entity.dart                                                           | Dart     |        113 |          0 |         12 |        125 |
| /home/essam/dev/car_rental/lib/features/home/domain/repos/home_repo.dart                                                               | Dart     |         11 |          0 |          2 |         13 |
| /home/essam/dev/car_rental/lib/features/home/presentation/manager/best_cars/best_cars_cubit.dart                                       | Dart     |         16 |          0 |          5 |         21 |
| /home/essam/dev/car_rental/lib/features/home/presentation/manager/best_cars/best_cars_state.dart                                       | Dart     |         13 |          0 |          7 |         20 |
| /home/essam/dev/car_rental/lib/features/home/presentation/manager/brands/brands_cubit.dart                                             | Dart     |         22 |          1 |          4 |         27 |
| /home/essam/dev/car_rental/lib/features/home/presentation/manager/brands/brands_state.dart                                             | Dart     |         13 |          0 |          8 |         21 |
| /home/essam/dev/car_rental/lib/features/home/presentation/manager/get_car_reviews/get_car_reviews_cubit.dart                           | Dart     |         22 |          0 |          7 |         29 |
| /home/essam/dev/car_rental/lib/features/home/presentation/manager/get_car_reviews/get_car_reviews_state.dart                           | Dart     |         13 |          0 |          8 |         21 |
| /home/essam/dev/car_rental/lib/features/home/presentation/manager/get_one_car/get_one_car_cubit.dart                                   | Dart     |         24 |          0 |          3 |         27 |
| /home/essam/dev/car_rental/lib/features/home/presentation/manager/get_one_car/get_one_car_state.dart                                   | Dart     |         12 |          0 |          7 |         19 |
| /home/essam/dev/car_rental/lib/features/home/presentation/views/car_details.dart                                                       | Dart     |         22 |          0 |          2 |         24 |
| /home/essam/dev/car_rental/lib/features/home/presentation/views/home_view.dart                                                         | Dart     |         24 |          1 |          5 |         30 |
| /home/essam/dev/car_rental/lib/features/home/presentation/views/widgets/best_car_item.dart                                             | Dart     |        157 |          0 |         15 |        172 |
| /home/essam/dev/car_rental/lib/features/home/presentation/views/widgets/best_cars_list_view.dart                                       | Dart     |         43 |          0 |          2 |         45 |
| /home/essam/dev/car_rental/lib/features/home/presentation/views/widgets/best_cars_section.dart                                         | Dart     |         41 |          0 |          3 |         44 |
| /home/essam/dev/car_rental/lib/features/home/presentation/views/widgets/brand_widget.dart                                              | Dart     |         25 |          0 |          3 |         28 |
| /home/essam/dev/car_rental/lib/features/home/presentation/views/widgets/brands_section.dart                                            | Dart     |         27 |          0 |          2 |         29 |
| /home/essam/dev/car_rental/lib/features/home/presentation/views/widgets/car_details_slider.dart                                        | Dart     |         94 |          0 |          4 |         98 |
| /home/essam/dev/car_rental/lib/features/home/presentation/views/widgets/car_details_view_body.dart                                     | Dart     |         84 |          0 |          6 |         90 |
| /home/essam/dev/car_rental/lib/features/home/presentation/views/widgets/car_details_view_body_bloc_consumer.dart                       | Dart     |         23 |          0 |          3 |         26 |
| /home/essam/dev/car_rental/lib/features/home/presentation/views/widgets/car_features.dart                                              | Dart     |         39 |          0 |          4 |         43 |
| /home/essam/dev/car_rental/lib/features/home/presentation/views/widgets/car_reviews.dart                                               | Dart     |         53 |          0 |          4 |         57 |
| /home/essam/dev/car_rental/lib/features/home/presentation/views/widgets/car_selectiong_container.dart                                  | Dart     |         20 |          0 |          4 |         24 |
| /home/essam/dev/car_rental/lib/features/home/presentation/views/widgets/car_title_with_rating.dart                                     | Dart     |         69 |          0 |          5 |         74 |
| /home/essam/dev/car_rental/lib/features/home/presentation/views/widgets/contact_car_row.dart                                           | Dart     |         70 |          0 |          6 |         76 |
| /home/essam/dev/car_rental/lib/features/home/presentation/views/widgets/custom_app_bar.dart                                            | Dart     |         46 |          0 |          5 |         51 |
| /home/essam/dev/car_rental/lib/features/home/presentation/views/widgets/custom_car_details_button.dart                                 | Dart     |         41 |          0 |          3 |         44 |
| /home/essam/dev/car_rental/lib/features/home/presentation/views/widgets/custom_search_bar_button.dart                                  | Dart     |         40 |          0 |          6 |         46 |
| /home/essam/dev/car_rental/lib/features/home/presentation/views/widgets/feature_container.dart                                         | Dart     |         65 |          0 |          3 |         68 |
| /home/essam/dev/car_rental/lib/features/home/presentation/views/widgets/filter_search_widget.dart                                      | Dart     |         18 |          0 |          4 |         22 |
| /home/essam/dev/car_rental/lib/features/home/presentation/views/widgets/home_view_body.dart                                            | Dart     |         89 |          0 |          8 |         97 |
| /home/essam/dev/car_rental/lib/features/home/presentation/views/widgets/nearby_car.dart                                                | Dart     |         33 |          0 |          4 |         37 |
| /home/essam/dev/car_rental/lib/features/home/presentation/views/widgets/notifications_widget.dart                                      | Dart     |         49 |          0 |          5 |         54 |
| /home/essam/dev/car_rental/lib/features/home/presentation/views/widgets/profile_pic.dart                                               | Dart     |         16 |          0 |          3 |         19 |
| /home/essam/dev/car_rental/lib/features/home/presentation/views/widgets/review_card.dart                                               | Dart     |         94 |          0 |          6 |        100 |
| /home/essam/dev/car_rental/lib/features/on_boarding/presentation/views/main_view.dart                                                  | Dart     |         25 |          0 |          6 |         31 |
| /home/essam/dev/car_rental/lib/features/on_boarding/presentation/views/on_boarding_view.dart                                           | Dart     |         10 |          0 |          4 |         14 |
| /home/essam/dev/car_rental/lib/features/on_boarding/presentation/views/startup_view.dart                                               | Dart     |         40 |          0 |          6 |         46 |
| /home/essam/dev/car_rental/lib/features/on_boarding/presentation/views/widgets/custom_bottom_navigation_bar.dart                       | Dart     |         45 |          0 |          6 |         51 |
| /home/essam/dev/car_rental/lib/features/on_boarding/presentation/views/widgets/main_view_body.dart                                     | Dart     |         16 |          0 |          3 |         19 |
| /home/essam/dev/car_rental/lib/features/on_boarding/presentation/views/widgets/on_boarding_page_view.dart                              | Dart     |         30 |          0 |          4 |         34 |
| /home/essam/dev/car_rental/lib/features/on_boarding/presentation/views/widgets/on_boarding_view_body.dart                              | Dart     |         91 |          0 |         10 |        101 |
| /home/essam/dev/car_rental/lib/features/on_boarding/presentation/views/widgets/page_view_item.dart                                     | Dart     |         87 |          0 |          9 |         96 |
| /home/essam/dev/car_rental/lib/main.dart                                                                                               | Dart     |         36 |          2 |          6 |         44 |
| Total                                                                                                                                  |          |      6,198 |        115 |        835 |      7,148 |
+----------------------------------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
